datetime,pps,avg_price,shares,unrealized_pnl,realized_pnl,total_pnl,market_value,pnl_rate,daily_pnl,dividend_pnl
2021-03-26 00:00:00,1.5763,1.5763,1905.0000,0.0000,0.0000,0.0000,3002.8515,0.0000,0.0000,0.0000
2021-03-27 00:00:00,1.6511,1.5763,1905.0000,142.4940,0.0000,142.4940,3145.3455,0.0475,142.4940,56.9976
2021-03-28 00:00:00,1.6663,1.5763,1905.0000,171.4500,0.0000,171.4500,3174.3015,0.0571,28.9560,68.5800
2021-03-29 00:00:00,1.6620,1.5763,1905.0000,163.2585,0.0000,163.2585,3166.1100,0.0544,-8.1915,65.3034
2021-03-30 00:00:00,1.6940,1.5763,1905.0000,224.2185,0.0000,224.2185,3227.0700,0.0747,60.9600,89.6874
2021-03-31 00:00:00,1.7114,1.5763,1905.0000,257.3655,0.0000,257.3655,3260.2170,0.0857,33.1470,102.9462
2021-04-01 00:00:00,1.7120,1.5763,1905.0000,258.5085,0.0000,258.5085,3261.3600,0.0861,1.1430,103.4034
2021-04-02 00:00:00,1.7128,1.5763,1905.0000,260.0325,0.0000,260.0325,3262.8840,0.0866,1.5240,104.0130
2021-04-03 00:00:00,1.7171,1.5763,1905.0000,268.2240,0.0000,268.2240,3271.0755,0.0893,8.1915,107.2896
2021-04-04 00:00:00,1.7010,1.5763,1905.0000,237.5535,0.0000,237.5535,3240.4050,0.0791,-30.6705,95.0214
2021-04-05 00:00:00,1.7092,1.5763,1905.0000,253.1745,0.0000,253.1745,3256.0260,0.0843,15.6210,101.2698
2021-04-06 00:00:00,1.7159,1.5763,1905.0000,265.9380,0.0000,265.9380,3268.7895,0.0886,12.7635,106.3752
2021-04-07 00:00:00,1.7136,1.5763,1905.0000,261.5565,0.0000,261.5565,3264.4080,0.0871,-4.3815,104.6226
2021-04-08 00:00:00,1.7064,1.5763,1905.0000,247.8405,0.0000,247.8405,3250.6920,0.0825,-13.7160,99.1362
2021-04-09 00:00:00,1.7126,1.5763,1905.0000,259.6515,0.0000,259.6515,3262.5030,0.0865,11.8110,103.8606
2021-04-10 00:00:00,1.7135,1.5763,1905.0000,261.3660,0.0000,261.3660,3264.2175,0.0870,1.7145,104.5464
