datetime,pps,avg_price,shares,unrealized_pnl,realized_pnl,total_pnl,market_value,pnl_rate,daily_pnl,dividend_pnl
2021-07-01 00:00:00,1.0000,1.0000,5569.0000,0.0000,0.0000,0.0000,5569.0000,0.0000,0.0000,0.0000
2021-07-02 00:00:00,1.0000,1.0000,5569.0000,0.0000,0.0000,0.0000,5569.0000,0.0000,0.0000,0.0000
2021-07-03 00:00:00,1.0000,1.0000,5569.0000,0.0000,0.0000,0.0000,5569.0000,0.0000,0.0000,0.0000
2021-07-04 00:00:00,1.0006,1.0000,5569.0000,3.3414,0.0000,3.3414,5572.3414,0.0006,3.3414,1.0024
2021-07-05 00:00:00,1.0010,1.0000,5569.0000,5.5690,0.0000,5.5690,5574.5690,0.0010,2.2276,1.6707
2021-07-06 00:00:00,1.0000,1.0000,5569.0000,0.0000,0.0000,0.0000,5569.0000,0.0000,-5.5690,0.0000
2021-07-07 00:00:00,1.0004,1.0000,5569.0000,2.2276,0.0000,2.2276,5571.2276,0.0004,2.2276,0.6683
2021-07-08 00:00:00,1.0001,1.0000,5569.0000,0.5569,0.0000,0.5569,5569.5569,0.0001,-1.6707,0.1671
2021-07-09 00:00:00,0.9992,1.0000,5569.0000,-4.4552,0.0000,-4.4552,5564.5448,-0.0008,-5.0121,0.0000
2021-07-10 00:00:00,1.0000,1.0000,5569.0000,0.0000,0.0000,0.0000,5569.0000,0.0000,4.4552,0.0000
2021-07-11 00:00:00,0.9997,1.0000,5569.0000,-1.6707,0.0000,-1.6707,5567.3293,-0.0003,-1.6707,0.0000
2021-07-12 00:00:00,1.0003,1.0000,5569.0000,1.6707,0.0000,1.6707,5570.6707,0.0003,3.3414,0.5012
2021-07-13 00:00:00,0.9992,1.0000,5569.0000,-4.4552,0.0000,-4.4552,5564.5448,-0.0008,-6.1259,0.0000
2021-07-14 00:00:00,0.9988,1.0000,5569.0000,-6.6828,0.0000,-6.6828,5562.3172,-0.0012,-2.2276,0.0000
2021-07-15 00:00:00,0.9989,1.0000,5569.0000,-6.1259,0.0000,-6.1259,5562.8741,-0.0011,0.5569,0.0000
2021-07-16 00:00:00,0.9980,1.0000,5569.0000,-11.1380,0.0000,-11.1380,5557.8620,-0.0020,-5.0121,0.0000
2021-07-17 00:00:00,0.9974,1.0000,5569.0000,-14.4794,0.0000,-14.4794,5554.5206,-0.0026,-3.3414,0.0000
2021-07-18 00:00:00,0.9975,1.0000,5569.0000,-13.9225,0.0000,-13.9225,5555.0775,-0.0025,0.5569,0.0000
2021-07-19 00:00:00,0.9974,1.0000,5569.0000,-14.4794,0.0000,-14.4794,5554.5206,-0.0026,-0.5569,0.0000
2021-07-20 00:00:00,0.9977,1.0000,5569.0000,-12.8087,0.0000,-12.8087,5556.1913,-0.0023,1.6707,0.0000
2021-07-21 00:00:00,0.9980,1.0000,5569.0000,-11.1380,0.0000,-11.1380,5557.8620,-0.0020,1.6707,0.0000
2021-07-22 00:00:00,0.9970,1.0000,5569.0000,-16.7070,0.0000,-16.7070,5552.2930,-0.0030,-5.5690,0.0000
2021-07-23 00:00:00,0.9968,1.0000,5569.0000,-17.8208,0.0000,-17.8208,5551.1792,-0.0032,-1.1138,0.0000
2021-07-24 00:00:00,0.9977,1.0000,5569.0000,-12.8087,0.0000,-12.8087,5556.1913,-0.0023,5.0121,0.0000
2021-07-25 00:00:00,0.9982,1.0000,5569.0000,-10.0242,0.0000,-10.0242,5558.9758,-0.0018,2.7845,0.0000
2021-07-26 00:00:00,1.0018,1.0000,5569.0000,10.0242,0.0000,10.0242,5579.0242,0.0018,20.0484,3.0073
2021-07-27 00:00:00,1.0213,1.0000,5569.0000,118.6197,0.0000,118.6197,5687.6197,0.0213,108.5955,35.5859
2021-07-28 00:00:00,1.0461,1.0000,5569.0000,256.7309,0.0000,256.7309,5825.7309,0.0461,138.1112,77.0193
2021-07-29 00:00:00,1.0530,1.0000,5569.0000,295.1570,0.0000,295.1570,5864.1570,0.0530,38.4261,88.5471
2021-07-30 00:00:00,1.0551,1.0000,5569.0000,306.8519,0.0000,306.8519,5875.8519,0.0551,11.6949,92.0556
2021-07-31 00:00:00,1.0873,1.0000,5569.0000,486.1737,0.0000,486.1737,6055.1737,0.0873,179.3218,145.8521
2021-08-01 00:00:00,1.0780,1.0000,5569.0000,434.3820,0.0000,434.3820,6003.3820,0.0780,-51.7917,130.3146
2021-08-02 00:00:00,1.0553,1.0000,5569.0000,307.9657,0.0000,307.9657,5876.9657,0.0553,-126.4163,92.3897
2021-08-03 00:00:00,1.0462,1.0000,5569.0000,257.2878,0.0000,257.2878,5826.2878,0.0462,-50.6779,77.1863
2021-08-04 00:00:00,1.0321,1.0000,5569.0000,178.7649,0.0000,178.7649,5747.7649,0.0321,-78.5229,53.6295
2021-08-05 00:00:00,1.0615,1.0000,5569.0000,342.4935,0.0000,342.4935,5911.4935,0.0615,163.7286,102.7481
2021-08-06 00:00:00,1.0767,1.0000,5569.0000,427.1423,0.0000,427.1423,5996.1423,0.0767,84.6488,128.1427
2021-08-07 00:00:00,1.1044,1.0000,5569.0000,581.4036,0.0000,581.4036,6150.4036,0.1044,154.2613,174.4211
2021-08-08 00:00:00,1.1941,1.0000,5569.0000,1080.9429,0.0000,1080.9429,6649.9429,0.1941,499.5393,324.2829
2021-08-09 00:00:00,1.1737,1.0000,5569.0000,967.3353,0.0000,967.3353,6536.3353,0.1737,-113.6076,290.2006
2021-08-10 00:00:00,1.2015,1.0000,5569.0000,1122.1535,0.0000,1122.1535,6691.1535,0.2015,154.8182,336.6461
2021-08-11 00:00:00,1.1785,1.0000,5569.0000,994.0665,0.0000,994.0665,6563.0665,0.1785,-128.0870,298.2200
2021-08-12 00:00:00,1.1765,1.0000,5569.0000,982.9285,0.0000,982.9285,6551.9285,0.1765,-11.1380,294.8786
2021-08-13 00:00:00,1.1328,1.0000,5569.0000,739.5632,0.0000,739.5632,6308.5632,0.1328,-243.3653,221.8690
2021-08-14 00:00:00,1.2640,1.0000,5569.0000,1470.2160,0.0000,1470.2160,7039.2160,0.2640,730.6528,441.0648
2021-08-15 00:00:00,1.2531,1.0000,5569.0000,1409.5139,0.0000,1409.5139,6978.5139,0.2531,-60.7021,422.8542
2021-08-16 00:00:00,1.2531,1.0000,5569.0000,1409.5139,0.0000,1409.5139,6978.5139,0.2531,0.0000,422.8542
2021-08-17 00:00:00,1.2418,1.0000,5569.0000,1346.5842,0.0000,1346.5842,6915.5842,0.2418,-62.9297,403.9753
2021-08-18 00:00:00,1.2245,1.0000,5569.0000,1250.2405,0.0000,1250.2405,6819.2405,0.2245,-96.3437,375.0721
2021-08-19 00:00:00,1.2251,1.0000,5569.0000,1253.5819,0.0000,1253.5819,6822.5819,0.2251,3.3414,376.0746
2021-08-20 00:00:00,1.2451,1.0000,5569.0000,1364.9619,0.0000,1364.9619,6933.9619,0.2451,111.3800,409.4886
2021-08-21 00:00:00,1.2513,1.0000,5569.0000,1399.4897,0.0000,1399.4897,6968.4897,0.2513,34.5278,419.8469
2021-08-22 00:00:00,1.2471,1.0000,5569.0000,1376.0999,0.0000,1376.0999,6945.0999,0.2471,-23.3898,412.8300
2021-08-23 00:00:00,1.2492,1.0000,5569.0000,1387.7948,0.0000,1387.7948,6956.7948,0.2492,11.6949,416.3384
2021-08-24 00:00:00,1.2544,1.0000,5569.0000,1416.7536,0.0000,1416.7536,6985.7536,0.2544,28.9588,425.0261
2021-08-25 00:00:00,1.2065,1.0000,5569.0000,1149.9985,0.0000,1149.9985,6718.9985,0.2065,-266.7551,344.9995
2021-08-26 00:00:00,1.2096,1.0000,5569.0000,1167.2624,0.0000,1167.2624,6736.2624,0.2096,17.2639,350.1787
2021-08-27 00:00:00,1.2039,1.0000,5569.0000,1135.5191,0.0000,1135.5191,6704.5191,0.2039,-31.7433,340.6557
2021-08-28 00:00:00,1.2074,1.0000,5569.0000,1155.0106,0.0000,1155.0106,6724.0106,0.2074,19.4915,346.5032
2021-08-29 00:00:00,1.2072,1.0000,5569.0000,1153.8968,0.0000,1153.8968,6722.8968,0.2072,-1.1138,346.1690
2021-08-30 00:00:00,1.2071,1.0000,5569.0000,1153.3399,0.0000,1153.3399,6722.3399,0.2071,-0.5569,346.0020
2021-08-31 00:00:00,1.2038,1.0000,5569.0000,1134.9622,0.0000,1134.9622,6703.9622,0.2038,-18.3777,340.4887
2021-09-01 00:00:00,1.2014,1.0000,5569.0000,1121.5966,0.0000,1121.5966,6690.5966,0.2014,-13.3656,336.4790
2021-09-02 00:00:00,1.1981,1.0000,5569.0000,1103.2189,0.0000,1103.2189,6672.2189,0.1981,-18.3777,330.9657
2021-09-03 00:00:00,1.1953,1.0000,5569.0000,1087.6257,0.0000,1087.6257,6656.6257,0.1953,-15.5932,326.2877
2021-09-04 00:00:00,1.2072,1.0000,5569.0000,1153.8968,0.0000,1153.8968,6722.8968,0.2072,66.2711,346.1690
2021-09-05 00:00:00,1.2028,1.0000,5569.0000,1129.3932,0.0000,1129.3932,6698.3932,0.2028,-24.5036,338.8180
2021-09-06 00:00:00,1.2120,1.0000,5569.0000,1180.6280,0.0000,1180.6280,6749.6280,0.2120,51.2348,354.1884
2021-09-07 00:00:00,1.2186,1.0000,5569.0000,1217.3834,0.0000,1217.3834,6786.3834,0.2186,36.7554,365.2150
2021-09-08 00:00:00,1.1110,1.0000,5569.0000,618.1590,0.0000,618.1590,6187.1590,0.1110,-599.2244,185.4477
2021-09-09 00:00:00,1.1094,1.0000,5569.0000,609.2486,0.0000,609.2486,6178.2486,0.1094,-8.9104,182.7746
2021-09-10 00:00:00,1.1095,1.0000,5569.0000,609.8055,0.0000,609.8055,6178.8055,0.1095,0.5569,182.9416
2021-09-11 00:00:00,1.0974,1.0000,5569.0000,542.4206,0.0000,542.4206,6111.4206,0.0974,-67.3849,162.7262
2021-09-12 00:00:00,1.1003,1.0000,5569.0000,558.5707,0.0000,558.5707,6127.5707,0.1003,16.1501,167.5712
2021-09-13 00:00:00,1.1074,1.0000,5569.0000,598.1106,0.0000,598.1106,6167.1106,0.1074,39.5399,179.4332
2021-09-14 00:00:00,1.1009,1.0000,5569.0000,561.9121,0.0000,561.9121,6130.9121,0.1009,-36.1985,168.5736
2021-09-15 00:00:00,1.1098,1.0000,5569.0000,611.4762,0.0000,611.4762,6180.4762,0.1098,49.5641,183.4429
2021-09-16 00:00:00,1.1173,1.0000,5569.0000,653.2437,0.0000,653.2437,6222.2437,0.1173,41.7675,195.9731
2021-09-17 00:00:00,1.1152,1.0000,5569.0000,641.5488,0.0000,641.5488,6210.5488,0.1152,-11.6949,192.4646
2021-09-18 00:00:00,1.1091,1.0000,5569.0000,607.5779,0.0000,607.5779,6176.5779,0.1091,-33.9709,182.2734
2021-09-19 00:00:00,1.1158,1.0000,5569.0000,644.8902,0.0000,644.8902,6213.8902,0.1158,37.3123,193.4671
2021-09-20 00:00:00,1.0984,1.0000,5569.0000,547.9896,0.0000,547.9896,6116.9896,0.0984,-96.9006,164.3969
2021-09-21 00:00:00,1.0788,1.0000,5569.0000,438.8372,0.0000,438.8372,6007.8372,0.0788,-109.1524,131.6512
2021-09-22 00:00:00,1.0688,1.0000,5569.0000,383.1472,0.0000,383.1472,5952.1472,0.0688,-55.6900,114.9442
2021-09-23 00:00:00,1.0801,1.0000,5569.0000,446.0769,0.0000,446.0769,6015.0769,0.0801,62.9297,133.8231
2021-09-24 00:00:00,1.0840,1.0000,5569.0000,467.7960,0.0000,467.7960,6036.7960,0.0840,21.7191,140.3388
2021-09-25 00:00:00,1.0777,1.0000,5569.0000,432.7113,0.0000,432.7113,6001.7113,0.0777,-35.0847,129.8134
2021-09-26 00:00:00,1.0774,1.0000,5569.0000,431.0406,0.0000,431.0406,6000.0406,0.0774,-1.6707,129.3122
2021-09-27 00:00:00,1.0787,1.0000,5569.0000,438.2803,0.0000,438.2803,6007.2803,0.0787,7.2397,131.4841
2021-09-28 00:00:00,1.0770,1.0000,5569.0000,428.8130,0.0000,428.8130,5997.8130,0.0770,-9.4673,128.6439
2021-09-29 00:00:00,1.0810,1.0000,5569.0000,451.0890,0.0000,451.0890,6020.0890,0.0810,22.2760,135.3267
2021-09-30 00:00:00,1.0780,1.0000,5569.0000,434.3820,0.0000,434.3820,6003.3820,0.0780,-16.7070,130.3146
2021-10-01 00:00:00,1.0651,1.0000,5569.0000,362.5419,0.0000,362.5419,5931.5419,0.0651,-71.8401,108.7626
2021-10-02 00:00:00,1.0366,1.0000,5569.0000,203.8254,0.0000,203.8254,5772.8254,0.0366,-158.7165,61.1476
2021-10-03 00:00:00,1.0349,1.0000,5569.0000,194.3581,0.0000,194.3581,5763.3581,0.0349,-9.4673,58.3074
2021-10-04 00:00:00,1.0334,1.0000,5569.0000,186.0046,0.0000,186.0046,5755.0046,0.0334,-8.3535,55.8014
2021-10-05 00:00:00,1.0350,1.0000,5569.0000,194.9150,0.0000,194.9150,5763.9150,0.0350,8.9104,58.4745
2021-10-06 00:00:00,1.0282,1.0000,5569.0000,157.0458,0.0000,157.0458,5726.0458,0.0282,-37.8692,47.1137
2021-10-07 00:00:00,1.0327,1.0000,5569.0000,182.1063,0.0000,182.1063,5751.1063,0.0327,25.0605,54.6319
2021-10-08 00:00:00,1.0318,1.0000,5569.0000,177.0942,0.0000,177.0942,5746.0942,0.0318,-5.0121,53.1283
2021-10-09 00:00:00,1.0308,1.0000,5569.0000,171.5252,0.0000,171.5252,5740.5252,0.0308,-5.5690,51.4576
2021-10-10 00:00:00,1.0327,1.0000,5569.0000,182.1063,0.0000,182.1063,5751.1063,0.0327,10.5811,54.6319
2021-10-11 00:00:00,1.0257,1.0000,5569.0000,143.1233,0.0000,143.1233,5712.1233,0.0257,-38.9830,42.9370
2021-10-12 00:00:00,1.0057,1.0000,5569.0000,31.7433,0.0000,31.7433,5600.7433,0.0057,-111.3800,9.5230
2021-10-13 00:00:00,1.0053,1.0000,5569.0000,29.5157,0.0000,29.5157,5598.5157,0.0053,-2.2276,8.8547
2021-10-14 00:00:00,1.0366,1.0000,5569.0000,203.8254,0.0000,203.8254,5772.8254,0.0366,174.3097,61.1476
2021-10-15 00:00:00,1.0414,1.0000,5569.0000,230.5566,0.0000,230.5566,5799.5566,0.0414,26.7312,69.1670
2021-10-16 00:00:00,1.0460,1.0000,5569.0000,256.1740,0.0000,256.1740,5825.1740,0.0460,25.6174,76.8522
2021-10-17 00:00:00,1.0421,1.0000,5569.0000,234.4549,0.0000,234.4549,5803.4549,0.0421,-21.7191,70.3365
2021-10-18 00:00:00,1.0437,1.0000,5569.0000,243.3653,0.0000,243.3653,5812.3653,0.0437,8.9104,73.0096
2021-10-19 00:00:00,1.0391,1.0000,5569.0000,217.7479,0.0000,217.7479,5786.7479,0.0391,-25.6174,65.3244
2021-10-20 00:00:00,1.0500,1.0000,5569.0000,278.4500,0.0000,278.4500,5847.4500,0.0500,60.7021,83.5350
2021-10-21 00:00:00,1.0956,1.0000,5569.0000,532.3964,0.0000,532.3964,6101.3964,0.0956,253.9464,159.7189
2021-10-22 00:00:00,1.0737,1.0000,5569.0000,410.4353,0.0000,410.4353,5979.4353,0.0737,-121.9611,123.1306
2021-10-23 00:00:00,1.0729,1.0000,5569.0000,405.9801,0.0000,405.9801,5974.9801,0.0729,-4.4552,121.7940
2021-10-24 00:00:00,1.1005,1.0000,5569.0000,559.6845,0.0000,559.6845,6128.6845,0.1005,153.7044,167.9054
2021-10-25 00:00:00,1.0858,1.0000,5569.0000,477.8202,0.0000,477.8202,6046.8202,0.0858,-81.8643,143.3461
2021-10-26 00:00:00,1.1164,1.0000,5569.0000,648.2316,0.0000,648.2316,6217.2316,0.1164,170.4114,194.4695
2021-10-27 00:00:00,1.0892,1.0000,5569.0000,496.7548,0.0000,496.7548,6065.7548,0.0892,-151.4768,149.0264
2021-10-28 00:00:00,1.0388,1.0000,5569.0000,216.0772,0.0000,216.0772,5785.0772,0.0388,-280.6776,64.8232
2021-10-29 00:00:00,1.1023,1.0000,5569.0000,569.7087,0.0000,569.7087,6138.7087,0.1023,353.6315,170.9126
2021-10-30 00:00:00,1.1501,1.0000,5569.0000,835.9069,0.0000,835.9069,6404.9069,0.1501,266.1982,250.7721
