datetime,unrealized_pnl,realized_pnl,total_pnl,market_value,daily_pnl
1609459200.0000,0.0000,0.0000,0.0000,34890.9000,0.0000
1609545600.0000,526.8526,0.0000,526.8526,35417.7526,526.8526
1609632000.0000,3914.7590,0.0000,3914.7590,38805.6590,3387.9064
1609718400.0000,4756.2783,191.2513,4947.5296,38298.4383,841.5193
1609804800.0000,3417.9461,191.2513,3609.1974,36960.1061,-1338.3322
1609891200.0000,6044.2972,191.2513,6235.5486,39586.4572,2626.3511
1609977600.0000,9847.9782,191.2513,10039.2295,43390.1382,3803.6809
1610064000.0000,13520.8447,191.2513,13712.0960,47063.0047,3672.8665
1610150400.0000,15167.7648,191.2513,15359.0161,48709.9248,1646.9201
1610236800.0000,14537.1721,191.2513,14728.4235,48079.3321,-630.5926
1610323200.0000,11169.5393,191.2513,11360.7906,44711.6993,-3367.6329
1610409600.0000,6627.9308,191.2513,6819.1821,40170.0908,-4541.6085
1610496000.0000,4162.5821,191.2513,4353.8334,37704.7421,-2465.3488
1610582400.0000,10029.1058,191.2513,10220.3572,43571.2658,5866.5238
1610668800.0000,13111.6303,191.2513,13302.8817,46653.7903,3082.5245
1610755200.0000,8583.4387,191.2513,8774.6901,42125.5987,-4528.1916
1610841600.0000,7204.8560,191.2513,7396.1073,40747.0160,-1378.5828
1610928000.0000,6859.3717,191.2513,7050.6231,40401.5317,-345.4842
1611014400.0000,7604.0077,191.2513,7795.2590,41146.1677,744.6360
1611100800.0000,6966.7066,191.2513,7157.9580,40508.8666,-637.3010
1611187200.0000,6634.6392,191.2513,6825.8906,40176.7992,-332.0674
1611273600.0000,3106.0040,191.2513,3297.2553,36648.1640,-3528.6352
1611360000.0000,4598.6301,191.2513,4789.8815,38140.7901,1492.6261
1611446400.0000,4011.6423,191.2513,4202.8937,37553.8023,-586.9878
1611532800.0000,4085.4351,191.2513,4276.6864,37627.5951,73.7928
1611619200.0000,4078.7267,191.2513,4269.9780,37620.8867,-6.7084
1611705600.0000,4175.9989,191.2513,4367.2503,37718.1589,97.2723
1611792000.0000,3324.0281,191.2513,3515.2794,36866.1881,-851.9709
1611878400.0000,4394.0230,191.2513,4585.2743,37936.1830,1069.9949
1611964800.0000,4645.5892,191.2513,4836.8405,38187.7492,251.5662
1612051200.0000,4685.8398,191.2513,4877.0911,38227.9998,40.2506
1612137600.0000,4440.9820,191.2513,4632.2333,37983.1420,-244.8578
1612224000.0000,4508.0663,191.2513,4699.3176,38050.2263,67.0843
1612310400.0000,4685.8398,191.2513,4877.0911,38227.9998,177.7734
1612396800.0000,4756.2783,191.2513,4947.5296,38298.4383,70.4385
1612483200.0000,4833.4253,191.2513,5024.6766,38375.5853,77.1470
1612569600.0000,4732.7988,191.2513,4924.0501,38274.9588,-100.6265
1612656000.0000,5796.0852,191.2513,5987.3366,39338.2452,1063.2865
1612742400.0000,5152.0758,191.2513,5343.3271,38694.2358,-644.0095
1612828800.0000,16871.7065,191.2513,17062.9578,50413.8665,11719.6307
1612915200.0000,16885.1233,191.2513,17076.3747,50427.2833,13.4169
1613001600.0000,14044.1024,191.2513,14235.3537,47586.2624,-2841.0210
1613088000.0000,19373.9516,191.2513,19565.2029,52916.1116,5329.8492
1613174400.0000,18199.9760,191.2513,18391.2273,51742.1360,-1173.9756
1613260800.0000,17730.3858,191.2513,17921.6371,51272.5458,-469.5902
1613347200.0000,20286.2984,191.2513,20477.5497,53828.4584,2555.9126
1613433600.0000,18874.1734,191.2513,19065.4248,52416.3334,-1412.1249
1613520000.0000,21084.6018,191.2513,21275.8531,54626.7618,2210.4283
1613606400.0000,26860.5617,191.2513,27051.8131,60402.7217,5775.9600
1613692800.0000,26233.3233,191.2513,26424.5747,59775.4833,-627.2384
1613779200.0000,31261.2931,191.2513,31452.5445,64803.4531,5027.9698
1613865600.0000,31241.1678,191.2513,31432.4192,64783.3278,-20.1253
1613952000.0000,33169.8420,191.2513,33361.0934,66712.0020,1928.6742
1614038400.0000,28705.3805,191.2513,28896.6319,62247.5405,-4464.4615
1614124800.0000,21581.0257,191.2513,21772.2771,55123.1857,-7124.3548
1614211200.0000,22711.3965,191.2513,22902.6479,56253.5565,1130.3708
1614297600.0000,18726.5879,191.2513,18917.8393,52268.7479,-3984.8086
1614384000.0000,17931.6387,191.2513,18122.8901,51473.7987,-794.9492
1614470400.0000,17787.4074,191.2513,17978.6588,51329.5674,-144.2313
1614556800.0000,16989.1040,191.2513,17180.3554,50531.2640,-798.3034
1614643200.0000,20454.0092,191.2513,20645.2605,53996.1692,3464.9051
1614729600.0000,19602.0383,191.2513,19793.2896,53144.1983,-851.9709
1614816000.0000,20953.7874,191.2513,21145.0387,54495.9474,1351.7490
1614902400.0000,19608.7467,191.2513,19799.9981,53150.9067,-1345.0406
1614988800.0000,19836.8334,191.2513,20028.0848,53378.9934,228.0867
1615075200.0000,19930.7515,191.2513,20122.0028,53472.9115,93.9180
1615161600.0000,20990.6837,191.2513,21181.9351,54532.8437,1059.9323
1615248000.0000,21611.2137,191.2513,21802.4650,55153.3737,620.5300
1615334400.0000,22644.3122,191.2513,22835.5635,56186.4722,1033.0985
1615420800.0000,23053.5266,191.2513,23244.7779,56595.6866,409.2144
1615507200.0000,25891.1933,191.2513,26082.4446,59433.3533,2837.6667
1615593600.0000,24941.9502,191.2513,25133.2015,58484.1102,-949.2431
1615680000.0000,31153.9582,191.2513,31345.2095,64696.1182,6212.0080
1615766400.0000,27387.1736,191.2513,27578.4250,60929.3336,-3766.7846
