datetime,pps,cum_pnl_rate,daily_pnl_rate
2022-08-04 00:00:00,0.8252,0.0000,0.0000
2022-08-05 00:00:00,0.8252,0.0000,0.0000
2022-08-06 00:00:00,0.8331,0.0096,0.0096
2022-08-07 00:00:00,0.8260,0.0010,-0.0085
2022-08-08 00:00:00,0.8287,0.0042,0.0033
2022-08-09 00:00:00,0.8428,0.0213,0.0170
2022-08-10 00:00:00,0.8048,-0.0247,-0.0451
2022-08-11 00:00:00,0.8283,0.0038,0.0292
2022-08-12 00:00:00,0.8193,-0.0071,-0.0109
2022-08-13 00:00:00,0.8268,0.0019,0.0092
2022-08-14 00:00:00,0.8264,0.0015,-0.0005
2022-08-15 00:00:00,0.8203,-0.0059,-0.0074
2022-08-16 00:00:00,0.7974,-0.0337,-0.0279
2022-08-17 00:00:00,0.8132,-0.0145,0.0198
2022-08-18 00:00:00,0.7952,-0.0364,-0.0221
2022-08-19 00:00:00,0.7722,-0.0642,-0.0289
2022-08-20 00:00:00,0.7669,-0.0706,-0.0069
2022-08-21 00:00:00,0.7656,-0.0722,-0.0017
2022-08-22 00:00:00,0.7656,-0.0722,0.0000
2022-08-23 00:00:00,0.7680,-0.0693,0.0031
2022-08-24 00:00:00,0.7677,-0.0697,-0.0004
2022-08-25 00:00:00,0.7671,-0.0704,-0.0008
2022-08-26 00:00:00,0.7660,-0.0717,-0.0014
2022-08-27 00:00:00,0.7638,-0.0744,-0.0029
2022-08-28 00:00:00,0.7637,-0.0745,-0.0001
2022-08-29 00:00:00,0.7637,-0.0745,0.0000
2022-08-30 00:00:00,0.7637,-0.0745,0.0000
2022-08-31 00:00:00,0.7637,-0.0745,0.0000
2022-09-01 00:00:00,0.7303,-0.1150,-0.0437
2022-09-02 00:00:00,0.7303,-0.1150,0.0000
