account,market_value,unrealized_pnl,dividend_pnl,user_market_value,shares
syj,46412.7768,9258.7768,0.0000,46412.7768,37154.0000
cl,20857.8924,4160.8924,1248.2677,19609.6247,16697.0000
zb,19938.4812,3977.4812,1193.2444,18745.2368,15961.0000
zy,10430.8200,2080.8200,624.2460,9806.5740,8350.0000
lbc,44479.0152,8873.0152,0.0000,44479.0152,35606.0000
lz,34963.8588,6974.8588,0.0000,34963.8588,27989.0000
house,85187.9448,16993.9448,0.0000,85187.9448,68194.0000
lhx,6956.7948,1387.7948,416.3384,6540.4564,5569.0000
sey,8419.6080,1679.6080,503.8824,7915.7256,6740.0000
miao,41003.7408,8179.7408,2453.9222,38549.8186,32824.0000
hmk,2635.8120,525.8120,157.7436,2478.0684,2110.0000
wzm,22503.0888,2553.0867,765.9260,21737.1628,18014.0000
