datetime,pps,cum_pnl_rate,daily_pnl_rate
2021-06-28 00:00:00,0.9873,0.0000,0.0000
2021-06-29 00:00:00,0.9857,-0.0016,-0.0016
2021-06-30 00:00:00,0.9885,0.0012,0.0028
2021-07-01 00:00:00,1.0103,0.0233,0.0221
2021-07-02 00:00:00,0.9828,-0.0046,-0.0272
2021-07-03 00:00:00,0.9823,-0.0051,-0.0005
2021-07-04 00:00:00,0.9832,-0.0042,0.0009
2021-07-05 00:00:00,0.9832,-0.0042,0.0000
2021-07-06 00:00:00,0.9820,-0.0054,-0.0012
2021-07-07 00:00:00,0.9837,-0.0036,0.0017
2021-07-08 00:00:00,0.9837,-0.0036,0.0000
2021-07-09 00:00:00,0.9837,-0.0036,0.0000
2021-07-10 00:00:00,0.9825,-0.0049,-0.0012
2021-07-11 00:00:00,0.9828,-0.0046,0.0003
2021-07-12 00:00:00,0.9831,-0.0043,0.0003
2021-07-13 00:00:00,0.9783,-0.0091,-0.0049
2021-07-14 00:00:00,0.9775,-0.0099,-0.0008
2021-07-15 00:00:00,0.9769,-0.0105,-0.0006
2021-07-16 00:00:00,0.9765,-0.0109,-0.0004
2021-07-17 00:00:00,0.9771,-0.0103,0.0006
2021-07-18 00:00:00,0.9762,-0.0112,-0.0009
2021-07-19 00:00:00,0.9748,-0.0127,-0.0014
2021-07-20 00:00:00,0.9763,-0.0111,0.0015
2021-07-21 00:00:00,0.9753,-0.0122,-0.0010
2021-07-22 00:00:00,0.9737,-0.0138,-0.0016
2021-07-23 00:00:00,0.9758,-0.0116,0.0022
2021-07-24 00:00:00,0.9760,-0.0114,0.0002
2021-07-25 00:00:00,0.9768,-0.0106,0.0008
2021-07-26 00:00:00,0.9791,-0.0083,0.0024
2021-07-27 00:00:00,0.9879,0.0006,0.0090
