datetime,pps,cum_pnl_rate,daily_pnl_rate
2021-03-01 00:00:00,1.2859,0.0000,0.0000
2021-03-02 00:00:00,1.3153,0.0229,0.0229
2021-03-03 00:00:00,1.3080,0.0172,-0.0056
2021-03-04 00:00:00,1.3188,0.0256,0.0083
2021-03-05 00:00:00,1.3080,0.0172,-0.0082
2021-03-06 00:00:00,1.3101,0.0188,0.0016
2021-03-07 00:00:00,1.3107,0.0193,0.0005
2021-03-08 00:00:00,1.3194,0.0261,0.0066
2021-03-09 00:00:00,1.3250,0.0304,0.0042
2021-03-10 00:00:00,1.3334,0.0369,0.0063
2021-03-11 00:00:00,1.3359,0.0389,0.0019
2021-03-12 00:00:00,1.3588,0.0567,0.0171
2021-03-13 00:00:00,1.3515,0.0510,-0.0054
2021-03-14 00:00:00,1.4010,0.0895,0.0366
2021-03-15 00:00:00,1.3718,0.0668,-0.0208
2021-03-16 00:00:00,1.3266,0.0317,-0.0329
2021-03-17 00:00:00,1.3455,0.0463,0.0142
2021-03-18 00:00:00,1.3738,0.0684,0.0210
2021-03-19 00:00:00,1.3535,0.0526,-0.0148
2021-03-20 00:00:00,1.3603,0.0579,0.0050
2021-03-21 00:00:00,1.3614,0.0587,0.0008
2021-03-22 00:00:00,1.3493,0.0493,-0.0089
2021-03-23 00:00:00,1.3270,0.0320,-0.0165
2021-03-24 00:00:00,1.3289,0.0334,0.0014
2021-03-25 00:00:00,1.3162,0.0236,-0.0096
2021-03-26 00:00:00,1.3111,0.0196,-0.0039
2021-03-27 00:00:00,1.3305,0.0347,0.0148
2021-03-28 00:00:00,1.3343,0.0376,0.0029
2021-03-29 00:00:00,1.3339,0.0373,-0.0003
2021-03-30 00:00:00,1.3416,0.0433,0.0058
