datetime,pps,avg_price,shares,unrealized_pnl,realized_pnl,total_pnl,market_value,pnl_rate,daily_pnl,dividend_pnl
2021-01-01 00:00:00,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0,0
2021-01-02 00:00:00,1.0150,1.0000,1.0000,0.0150,0.0000,0.0150,1.0150,0.0150,0.0150,0.0000
2021-01-03 00:00:00,1.1127,1.0000,1.0000,0.1127,0.0000,0.1127,1.1127,0.1127,0.0977,0.0000
2021-01-04 00:00:00,1.1439,1.0000,1.0000,0.1439,0.0000,0.1439,1.1439,0.1439,0.0312,0.0000
2021-01-05 00:00:00,1.1056,1.0000,1.0000,0.1056,0.0000,0.1056,1.1056,0.1056,-0.0383,0.0000
2021-01-06 00:00:00,1.1843,1.0000,1.0000,0.1843,0.0000,0.1843,1.1843,0.1843,0.0787,0.0000
2021-01-07 00:00:00,1.2924,1.0000,1.0000,0.2924,0.0000,0.2924,1.2924,0.2924,0.1081,0.0000
2021-01-08 00:00:00,1.3979,1.0000,1.0000,0.3979,0.0000,0.3979,1.3979,0.3979,0.1055,0.0000
2021-01-09 00:00:00,1.4228,1.0000,1.0000,0.4228,0.0000,0.4228,1.4228,0.4228,0.0249,0.0000
2021-01-10 00:00:00,1.4155,1.0000,1.0000,0.4155,0.0000,0.4155,1.4155,0.4155,-0.0073,0.0000
2021-01-11 00:00:00,1.3646,1.0000,1.0000,0.3646,0.0000,0.3646,1.3646,0.3646,-0.0509,0.0000
2021-01-12 00:00:00,1.2911,1.0000,1.0000,0.2911,0.0000,0.2911,1.2911,0.2911,-0.0735,0.0000
2021-01-13 00:00:00,1.2537,1.0000,1.0000,0.2537,0.0000,0.2537,1.2537,0.2537,-0.0374,0.0000
2021-01-14 00:00:00,1.3489,1.0000,1.0000,0.3489,0.0000,0.3489,1.3489,0.3489,0.0952,0.0000
2021-01-15 00:00:00,1.4005,1.0000,1.0000,0.4005,0.0000,0.4005,1.4005,0.4005,0.0516,0.0000
2021-01-16 00:00:00,1.3266,1.0000,1.0000,0.3266,0.0000,0.3266,1.3266,0.3266,-0.0739,0.0000
2021-01-17 00:00:00,1.3029,1.0000,1.0000,0.3029,0.0000,0.3029,1.3029,0.3029,-0.0237,0.0000
2021-01-18 00:00:00,1.3001,1.0000,1.0000,0.3001,0.0000,0.3001,1.3001,0.3001,-0.0028,0.0000
2021-01-19 00:00:00,1.3160,1.0000,1.0000,0.3160,0.0000,0.3160,1.3160,0.3160,0.0159,0.0000
2021-01-20 00:00:00,1.3013,1.0000,1.0000,0.3013,0.0000,0.3013,1.3013,0.3013,-0.0147,0.0000
2021-01-21 00:00:00,1.2943,1.0000,1.0000,0.2943,0.0000,0.2943,1.2943,0.2943,-0.0070,0.0000
2021-01-22 00:00:00,1.2191,1.0000,1.0000,0.2191,0.0000,0.2191,1.2191,0.2191,-0.0752,0.0000
2021-01-23 00:00:00,1.2520,1.0000,1.0000,0.2520,0.0000,0.2520,1.2520,0.2520,0.0329,0.0000
2021-01-24 00:00:00,1.2396,1.0000,1.0000,0.2396,0.0000,0.2396,1.2396,0.2396,-0.0124,0.0000
2021-01-25 00:00:00,1.2422,1.0000,1.0000,0.2422,0.0000,0.2422,1.2422,0.2422,0.0026,0.0000
2021-01-26 00:00:00,1.2415,1.0000,1.0000,0.2415,0.0000,0.2415,1.2415,0.2415,-0.0007,0.0000
2021-01-27 00:00:00,1.2444,1.0000,1.0000,0.2444,0.0000,0.2444,1.2444,0.2444,0.0029,0.0000
2021-01-28 00:00:00,1.2260,1.0000,1.0000,0.2260,0.0000,0.2260,1.2260,0.2260,-0.0184,0.0000
2021-01-29 00:00:00,1.2491,1.0000,1.0000,0.2491,0.0000,0.2491,1.2491,0.2491,0.0231,0.0000
2021-01-30 00:00:00,1.2541,1.0000,1.0000,0.2541,0.0000,0.2541,1.2541,0.2541,0.0050,0.0000
2021-01-31 00:00:00,1.2545,1.0000,1.0000,0.2545,0.0000,0.2545,1.2545,0.2545,0.0004,0.0000
2021-02-01 00:00:00,1.2496,1.0000,1.0000,0.2496,0.0000,0.2496,1.2496,0.2496,-0.0049,0.0000
2021-02-02 00:00:00,1.2508,1.0000,1.0000,0.2508,0.0000,0.2508,1.2508,0.2508,0.0012,0.0000
2021-02-03 00:00:00,1.2542,1.0000,1.0000,0.2542,0.0000,0.2542,1.2542,0.2542,0.0034,0.0000
2021-02-04 00:00:00,1.2559,1.0000,1.0000,0.2559,0.0000,0.2559,1.2559,0.2559,0.0017,0.0000
2021-02-05 00:00:00,1.2565,1.0000,1.0000,0.2565,0.0000,0.2565,1.2565,0.2565,0.0006,0.0000
2021-02-06 00:00:00,1.2528,1.0000,1.0000,0.2528,0.0000,0.2528,1.2528,0.2528,-0.0037,0.0000
2021-02-07 00:00:00,1.2838,1.0000,1.0000,0.2838,0.0000,0.2838,1.2838,0.2838,0.0310,0.0000
2021-02-08 00:00:00,1.2699,1.0000,1.0000,0.2699,0.0000,0.2699,1.2699,0.2699,-0.0139,0.0000
2021-02-09 00:00:00,1.5259,1.0000,1.0000,0.5259,0.0000,0.5259,1.5259,0.5259,0.2560,0.0000
2021-02-10 00:00:00,1.5276,1.0000,1.0000,0.5276,0.0000,0.5276,1.5276,0.5276,0.0017,0.0000
2021-02-11 00:00:00,1.4675,1.0000,1.0000,0.4675,0.0000,0.4675,1.4675,0.4675,-0.0601,0.0000
