account,market_value,unrealized_pnl,dividend_pnl,user_market_value,shares
cm,2.1025,0.3897,0.1559,1.9467,1.6300
syj,43266.0322,9723.8722,0.0000,43266.0322,33542.1600
hxy,2.4508,0.5508,0.2754,2.1754,1.9000
cl,19444.4299,4370.0599,1748.0239,17696.4059,15074.3700
zb,18587.2010,4177.4010,1670.9604,16916.2406,14409.8000
zy,9724.2207,1994.2294,797.6918,8926.5290,7538.7400
lbc,41463.0616,8864.9016,0.0000,41463.0616,32144.4000
lz,32593.3222,7325.2222,0.0000,32593.3222,25268.1000
house,79412.0486,-10650.0596,0.0000,79412.0486,61564.5000
lhx,6485.4882,-3514.5021,0.0000,6485.4882,5027.9000
sey,7848.9125,-2151.0121,0.0000,7848.9125,6084.9000
miao,38223.6067,-11776.1542,0.0000,38223.6067,29633.0000
hmk,2457.2595,-545.5920,0.0000,2457.2595,1905.0000
